peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
108.04,1.73,V,36,0,17,6,13,7,6,N,1,0,0
109.9,1.79,V,31,0,0,3,14,15,NA,N,1,2,2
77.11,1.59,M,40,0,3,0,5,0,0,N,2,2,3
53.87,1.73,V,48,110,0,0,0,0,0,N,2,3,2
96.24,1.7,V,44,0,16,2,0,9,0,N,1,2,2
83.92,1.71,V,25,0,0,0,10,3,0,N,3,3,4
80.44,1.68,V,38,0,23,0,1,0,0,N,1,2,2
75.74,1.72,V,30,50,0,0,1,0,0,N,0,1,0
58.43,1.74,V,34,70,0,0,13,1,0,N,1,3,4
60.25,1.64,M,35,90,0,0,9,0,0,N,0,0,0
92.86,1.66,M,57,40,6,2,0,2,8,N,0,2,2
116.23,1.77,V,44,0,0,2,6,0,0,N,0,0,0
74.87,1.65,M,52,60,17,5,10,1,2,N,1,2,2
93.42,1.68,M,42,0,14,1,12,15,0,N,1,3,2
77.25,1.67,M,23,0,1,0,0,7,0,N,1,2,3
97.72,1.61,M,51,0,0,0,0,2,0,N,1,1,2
100.48,1.68,V,52,0,0,0,9,0,0,N,0,2,1
72.17,1.62,M,28,20,4,1,22,14,0,N,2,2,2
97.08,1.79,V,38,0,25,1,0,0,2,N,0,1,1
55.26,1.55,M,18,0,7,0,0,0,0,N,1,3,4
49.6,1.66,M,40,150,12,9,5,7,0,N,3,4,4
96.88,1.74,V,36,0,0,4,0,0,0,N,0,1,2
73.22,1.62,M,36,0,0,3,0,1,0,N,3,4,4
112.32,1.74,V,52,0,0,0,17,9,0,N,1,1,2
69.12,1.64,M,35,70,0,0,0,0,0,N,0,0,1
88.41,1.74,V,46,0,0,0,0,0,0,N,3,4,4
97.05,1.82,V,27,0,0,0,5,1,0,N,2,2,4
123.88,1.82,V,42,0,0,2,6,5,0,N,1,0,0
105.01,1.76,V,43,0,12,3,0,0,0,N,0,1,1
94.25,1.69,V,61,70,5,0,19,17,0,N,2,1,0
82.76,1.65,M,44,0,4,0,7,0,0,N,2,3,2
83.63,1.71,M,22,0,0,1,17,1,0,N,1,2,1
65.36,1.63,M,18,0,1,0,4,5,0,N,2,3,4
79.32,1.74,M,20,0,0,3,0,2,2,N,2,3,3
90.98,1.73,V,44,0,13,7,2,6,3,N,2,4,4
99.96,1.69,M,66,0,0,0,0,0,0,N,1,4,4
52.63,1.71,V,41,90,11,2,0,0,0,N,1,2,1
61.35,1.73,V,32,20,17,3,0,0,0,N,2,4,4
96.95,1.78,V,37,20,14,1,11,9,0,N,0,1,0
101.71,1.78,V,30,20,0,0,0,11,0,N,0,0,0
76.32,1.73,M,18,0,0,3,7,8,1,N,3,4,4
93.71,1.67,V,35,0,0,0,35,10,0,N,1,3,1
65.09,1.62,M,49,90,0,0,22,17,0,N,2,3,1
101.06,1.75,V,39,0,4,3,16,8,0,N,1,2,1
122.5,1.75,V,66,0,0,7,13,17,0,N,0,2,2
104.43,1.72,V,41,0,6,1,8,10,0,N,0,2,0
76.63,1.62,M,31,0,1,0,0,0,0,N,1,2,2
85.68,1.74,V,29,0,0,0,0,9,0,N,1,3,3
117.61,1.81,V,66,0,18,0,2,1,0,N,1,2,3
79.29,1.72,M,19,0,0,1,11,10,4,N,1,3,3
85.55,1.63,M,46,0,0,0,14,9,0,N,2,3,2
87.08,1.66,V,39,0,0,0,6,5,0,N,2,3,4
118.04,1.72,V,46,0,0,0,6,5,6,N,0,1,2
89.71,1.79,V,25,0,0,2,0,3,NA,N,1,1,3
79.87,1.68,M,37,0,0,0,4,0,0,N,2,3,3
52.02,1.7,M,43,100,0,5,0,0,0,N,2,4,4
83.2,1.6,M,54,0,9,0,8,3,3,N,2,3,3
66.67,1.71,M,23,40,3,2,0,5,0,N,2,2,2
93.41,1.66,V,54,0,12,1,12,13,0,N,1,3,3
75.14,1.7,V,18,0,11,3,13,6,0,N,0,2,1
101.35,1.61,M,48,0,0,0,11,9,0,N,0,0,1
88.81,1.75,V,41,0,0,0,0,0,0,N,2,3,3
96.45,1.66,M,40,0,12,0,19,12,0,N,1,0,1
92.6,1.72,V,18,0,0,0,16,8,0,N,1,1,0
59.34,1.74,V,65,150,5,0,24,11,4,N,0,2,2
85.51,1.81,V,53,130,0,0,5,10,7,N,0,0,0
104.1,1.71,V,39,0,0,0,12,0,0,N,0,1,0
56.39,1.77,V,25,60,6,0,5,1,0,N,2,2,3
80.63,1.7,V,30,20,0,0,8,8,0,S,1,3,1
68.91,1.75,V,34,80,3,3,0,0,0,N,0,1,0
88.65,1.55,M,60,0,19,2,0,6,0,N,0,2,2
88.12,1.58,M,39,0,0,2,1,3,11,N,1,3,3
93.97,1.69,M,39,0,0,0,5,5,0,S,1,2,3
84.77,1.62,V,49,0,13,0,35,13,0,N,2,3,3
50.2,1.67,M,22,160,5,2,0,2,0,N,2,2,2
72.26,1.69,V,30,0,13,0,1,1,0,N,1,3,3
118.74,1.77,V,61,0,0,10,0,3,0,N,3,2,2
90.04,1.75,V,32,0,0,4,0,8,0,N,1,3,3
51.41,1.69,M,19,80,5,1,2,8,2,N,1,2,1
99.2,1.66,V,57,0,6,1,0,0,0,N,1,2,1
87.72,1.77,V,39,0,16,0,0,0,0,N,2,3,1
81.83,1.63,M,59,0,19,5,0,0,0,N,2,3,3
49.93,1.58,M,47,90,0,0,0,4,2,N,2,3,3
77.62,1.68,M,18,0,10,3,0,0,0,N,0,1,0
97.11,1.69,M,31,0,4,1,10,12,0,N,0,1,2
91.75,1.67,V,49,0,0,4,0,0,4,N,2,4,3
84.77,1.62,M,33,0,9,0,8,12,0,S,0,1,1
60.78,1.64,M,38,50,0,3,0,0,0,N,2,3,3
100.86,1.73,V,50,0,2,0,0,0,0,N,1,2,2
76.52,1.63,M,40,0,0,0,12,6,0,N,1,4,3
93.1,1.83,V,25,0,3,6,5,8,0,N,2,3,2
93.55,1.76,V,29,0,0,2,20,3,0,N,3,2,3
110.22,1.66,M,84,0,1,0,18,5,0,N,0,0,1
51.41,1.69,V,33,200,0,3,10,6,0,N,2,4,3
86.41,1.7,M,52,0,0,0,0,0,0,N,3,3,4
125.19,1.87,V,45,0,2,0,5,0,0,N,0,0,1
95.39,1.69,V,62,0,11,0,0,4,0,N,3,3,2
94.35,1.81,V,39,0,3,0,8,5,0,N,3,3,4
85.24,1.68,M,35,0,0,5,21,9,0,N,2,4,4
56.58,1.6,M,25,0,2,2,0,0,0,N,3,4,4
112.13,1.7,M,56,0,5,1,0,0,0,N,1,0,0
52.63,1.71,M,19,110,0,2,7,0,0,N,2,4,4
48.41,1.64,M,41,120,7,2,10,10,0,S,2,4,4
92.78,1.73,V,30,0,4,0,2,6,0,N,1,2,0
95,1.62,V,61,0,9,5,0,9,0,N,3,2,2
89.12,1.75,V,31,10,0,0,13,13,0,N,2,3,4
76.77,1.68,M,20,0,18,7,0,1,0,N,0,1,1
47.82,1.63,M,18,230,0,2,0,0,0,N,0,2,2
55.76,1.76,V,18,180,0,4,0,0,0,N,2,4,3
79.88,1.64,M,21,0,16,3,0,0,0,N,0,0,0
84.91,1.72,M,38,20,0,0,0,2,0,N,1,2,1
88.21,1.63,M,54,0,5,0,8,4,0,N,2,3,3
71.96,1.7,V,41,50,0,0,14,13,0,N,1,4,4
59.62,1.82,V,31,120,0,2,1,0,2,N,1,2,1
87.97,1.76,V,63,80,16,5,7,0,3,N,1,0,1
101.42,1.74,V,47,0,0,1,8,8,0,N,0,3,4
99.4,1.72,V,43,0,0,6,0,2,0,N,0,3,1
111.17,1.75,M,50,0,0,6,12,9,0,N,2,3,3
49,1.65,M,38,120,5,4,8,6,0,S,1,4,2
80.31,1.65,M,41,40,13,0,0,0,0,N,0,0,0
104.18,1.81,V,52,60,0,3,4,5,0,N,0,1,2
88.82,1.69,M,36,0,14,1,8,0,0,N,1,1,2
68.06,1.65,M,18,0,0,6,0,0,0,N,3,3,4
113.4,1.8,V,48,0,10,0,0,4,0,N,1,1,1
83.56,1.74,V,41,0,0,1,3,3,0,N,2,4,4
54.5,1.74,M,19,240,0,4,20,13,0,S,1,2,1
101.32,1.68,M,32,0,0,6,0,3,0,N,1,0,0
81.34,1.57,M,33,20,3,0,0,0,0,N,0,0,0
95.37,1.7,V,41,0,8,9,0,6,0,N,2,2,2
95.66,1.67,M,48,0,1,0,12,11,0,N,0,2,3
81.57,1.68,M,43,0,14,0,11,6,0,N,1,4,4
98.61,1.75,V,37,0,0,3,7,1,1,N,2,3,2
60.94,1.84,V,24,140,6,0,12,12,0,N,1,2,2
68.85,1.64,M,33,0,6,4,0,2,0,N,2,4,4
58.32,1.8,V,38,230,0,5,10,14,0,N,2,4,4
88.75,1.72,V,30,0,12,2,8,0,NA,N,1,1,1
84.56,1.76,V,32,20,14,5,6,5,0,N,1,1,1
102.64,1.74,V,43,10,1,6,20,19,1,N,1,2,2
115.02,1.8,V,45,0,2,0,28,10,0,N,0,2,2
93.87,1.64,V,40,0,0,2,15,9,0,N,1,2,1
97.37,1.68,V,46,0,18,3,0,3,0,N,0,1,0
89.01,1.66,M,42,0,8,1,23,10,0,N,0,2,2
116.24,1.86,V,43,0,0,3,0,0,0,N,1,1,1
115.65,1.81,V,37,0,1,0,3,8,2,N,0,1,0
82.41,1.68,M,36,0,6,0,0,0,0,N,1,2,3
78.69,1.72,V,39,50,9,4,0,0,0,N,1,1,1
98.65,1.66,M,45,0,10,0,11,8,0,N,0,0,1
95.4,1.68,V,40,0,0,3,22,8,2,N,2,3,2
80.42,1.64,V,36,10,0,0,18,9,0,N,2,3,3
105.04,1.75,V,44,0,4,3,0,0,0,N,1,2,2
74.56,1.77,V,25,20,3,0,9,3,0,N,2,3,4
86.13,1.58,M,56,0,0,0,14,0,0,N,2,3,2
115.54,1.76,V,37,0,2,0,16,10,0,N,0,0,0
113.03,1.81,V,49,0,0,0,28,17,0,N,1,4,4
100.05,1.76,V,51,0,9,4,0,0,0,N,2,2,2
72.8,1.63,M,38,0,0,2,0,0,0,N,3,4,4
98.69,1.77,V,51,20,6,4,20,9,0,N,1,4,2
79.61,1.73,M,46,10,9,0,14,8,0,N,3,4,4
67.49,1.67,M,18,0,0,3,4,0,0,N,3,4,4
115.03,1.79,V,63,0,6,1,5,6,0,N,2,3,2
72.79,1.67,V,18,0,4,3,7,0,2,N,1,3,3
94.74,1.62,M,47,0,0,0,0,8,0,N,0,1,0
80.63,1.7,M,19,0,0,0,0,2,0,N,0,2,3
84.39,1.83,V,77,80,3,0,2,8,0,N,4,4,4
83.81,1.57,M,49,20,0,7,0,3,0,N,2,2,2
67.98,1.69,M,33,0,0,3,0,0,0,N,2,4,4
51.41,1.69,V,28,180,0,6,4,9,0,N,1,2,3
80.74,1.66,M,27,0,0,4,6,8,4,N,2,3,4
92.18,1.73,M,36,0,7,4,3,0,0,N,1,2,1
90.54,1.69,M,26,0,0,3,0,0,0,N,1,2,0
53.22,1.71,M,19,80,9,5,7,0,0,N,0,1,2
59.82,1.7,V,37,120,0,1,9,5,0,N,2,0,1
78.18,1.68,M,43,20,0,0,7,5,0,N,2,4,3
97.92,1.72,V,65,0,4,0,3,0,0,N,1,4,4
85.02,1.63,M,43,0,0,0,3,0,0,N,0,2,3
104.36,1.64,M,44,0,0,0,0,1,0,N,0,0,0
78.36,1.56,M,21,0,7,0,20,6,0,N,0,0,1
47.82,1.63,M,18,100,0,0,18,11,0,N,1,3,3
66.19,1.56,M,34,0,1,2,0,1,0,N,0,3,4
91.13,1.63,M,38,20,0,0,22,16,1,N,0,1,1
92.77,1.7,V,34,0,0,1,0,0,0,N,1,2,2
85.82,1.62,M,43,0,7,0,7,13,4,N,1,3,2
118.27,1.81,V,49,0,0,1,0,0,0,N,0,1,0
61.8,1.65,M,37,60,12,1,17,10,9,N,2,4,4
113.16,1.71,V,75,0,0,0,10,7,0,N,3,4,2
77.05,1.68,M,38,70,0,0,16,5,0,N,0,0,1
107.46,1.77,V,54,0,6,0,0,0,1,N,2,3,2
100.96,1.67,M,42,0,0,0,0,5,4,N,0,1,1
85.55,1.78,V,42,80,0,0,0,7,0,N,1,0,0
93.69,1.62,M,48,0,0,0,14,10,0,S,0,2,1
97.9,1.78,V,45,60,5,4,18,15,0,N,0,0,1
66.62,1.61,M,26,0,9,0,21,16,0,N,2,4,4
89.56,1.64,M,50,20,3,0,23,15,0,N,1,2,3
65.09,1.63,M,29,20,2,0,12,0,0,N,3,3,2
99.22,1.75,V,58,30,12,0,11,8,0,N,1,2,1
81.32,1.8,V,38,0,6,1,0,3,0,N,1,4,4
97.54,1.6,M,55,0,0,0,0,0,0,N,0,1,2
106.28,1.63,M,70,0,0,0,15,12,0,N,2,3,4
108.57,1.66,M,51,0,0,5,8,13,0,N,1,1,1
66.61,1.68,M,21,0,7,6,0,0,0,N,3,4,3
121.5,1.8,V,47,0,0,0,0,0,0,N,0,0,0
61.73,1.66,M,25,0,18,0,0,0,0,N,2,2,4
79.34,1.64,V,37,50,2,3,5,0,0,N,0,0,0
71.73,1.57,M,33,0,6,3,4,0,0,S,1,2,2
97.96,1.71,V,49,0,1,1,0,0,2,N,2,3,3
72.87,1.78,V,26,0,4,0,1,0,0,N,2,4,4
88.1,1.74,V,18,0,0,6,8,4,2,N,1,2,2
110.58,1.78,V,42,0,1,4,0,1,0,N,1,2,1
80.47,1.72,V,18,0,0,4,0,6,0,N,1,2,2
72.66,1.74,V,27,0,13,4,5,5,0,N,2,4,4
71.15,1.58,M,31,0,12,0,8,0,0,N,1,1,0
112.82,1.69,V,68,0,0,3,0,0,0,N,0,1,4
82.35,1.74,V,30,30,0,0,0,0,0,N,0,1,2
86.61,1.63,M,32,0,0,0,5,1,5,N,1,3,4
73.7,1.64,M,24,0,0,2,0,1,0,N,0,2,2
106.64,1.7,M,54,0,2,1,11,16,1,N,1,3,4
55.11,1.62,M,45,70,7,6,0,11,0,N,1,3,4
47.82,1.63,M,30,190,19,2,5,3,6,N,2,3,2
109.09,1.81,V,49,0,0,6,3,2,0,N,2,3,3
87.43,1.71,V,49,0,14,0,15,7,0,N,2,4,3
62.87,1.71,M,18,50,0,0,0,6,0,N,2,2,3
82.27,1.67,M,34,0,7,0,9,9,0,N,0,2,2
97.61,1.67,M,45,0,0,0,18,11,0,N,2,2,2
91.4,1.69,V,54,0,9,0,8,3,0,N,2,3,2
101.73,1.74,M,38,0,0,0,12,12,0,N,1,2,2
72.32,1.55,M,29,0,3,3,0,3,0,N,1,2,2
100.45,1.75,V,35,10,0,0,16,5,0,N,0,1,1
81.88,1.62,M,36,0,3,3,0,0,0,N,2,2,2
105.2,1.7,M,50,20,11,3,12,2,3,S,0,0,0
116.16,1.76,V,51,0,0,0,0,2,0,N,0,1,0
117.94,1.81,V,51,0,0,0,23,13,0,N,1,2,3
78.4,1.72,V,29,40,0,1,19,7,2,N,3,2,2
46.66,1.61,M,41,160,9,1,0,2,0,N,1,1,1
95.1,1.76,V,37,0,10,3,15,17,3,N,3,4,4
110.74,1.73,V,59,0,3,1,0,1,0,N,0,2,1
84.25,1.69,M,21,0,0,0,0,0,0,N,0,2,1
115.34,1.8,V,51,0,4,2,1,0,0,N,1,2,1
97.27,1.78,V,47,0,6,1,1,0,0,N,2,3,4
121.1,1.74,V,54,0,0,3,13,8,0,N,1,0,0
100.59,1.72,V,41,0,4,2,0,5,0,N,0,2,2
106.21,1.77,V,27,0,0,0,23,14,5,N,1,2,2
74.85,1.72,V,52,20,11,2,0,0,1,N,3,4,4
109.96,1.76,V,31,0,0,3,0,5,0,N,0,0,0
53.25,1.72,V,25,90,4,3,4,0,7,N,2,3,2
75.58,1.64,M,41,0,4,0,0,0,0,N,3,4,3
52.02,1.7,V,44,130,9,0,0,8,0,S,1,2,2
70.23,1.7,M,58,120,0,3,11,4,0,N,1,2,1
88.08,1.78,M,18,0,0,2,13,0,0,S,1,2,1
103.84,1.72,M,48,0,0,0,14,19,0,N,2,3,4
107.61,1.71,M,52,0,0,0,12,4,0,N,2,2,1
79.34,1.64,M,60,30,19,3,3,2,0,N,1,1,3
89.88,1.7,V,60,0,12,0,0,5,0,N,2,4,4
113.72,1.77,V,36,0,7,5,0,7,0,N,1,0,0
59.25,1.78,V,38,110,2,0,0,6,0,N,0,2,2
66.96,1.71,M,33,50,0,4,14,12,0,N,2,3,4
82.75,1.71,V,30,0,18,4,3,0,0,N,0,1,1
81.14,1.74,V,40,0,9,3,2,0,1,N,3,4,4
85.24,1.68,M,50,0,0,3,0,0,0,N,3,4,3
82.94,1.66,M,46,40,0,0,12,2,1,N,1,2,1
83.65,1.77,V,21,0,0,0,0,7,0,N,1,3,2
94.54,1.67,M,48,0,6,0,12,0,0,N,2,2,2
119.72,1.73,M,66,0,2,5,2,12,0,N,0,1,3
47.24,1.62,M,27,100,0,0,0,0,0,N,0,2,1
66.58,1.51,M,22,0,0,1,3,0,0,N,0,1,1
75.99,1.63,M,59,50,7,2,9,1,5,N,1,3,2
88.47,1.63,M,37,0,0,0,20,11,0,N,1,2,3
105.39,1.69,M,36,10,0,3,10,0,2,N,0,0,0
91.74,1.74,V,25,0,0,0,5,4,0,N,1,2,0
90.04,1.79,V,38,0,0,0,0,0,0,N,3,3,4
101.23,1.63,M,63,0,0,2,2,0,0,N,1,2,3
116.56,1.72,V,49,0,0,5,11,7,1,N,0,0,1
84.8,1.71,M,48,20,9,3,0,0,0,N,1,2,1
95.75,1.64,M,58,0,0,0,0,4,5,N,3,4,4
86.71,1.59,M,58,0,2,1,7,3,0,N,3,3,2
98.17,1.64,M,61,0,7,0,6,3,1,N,1,2,3
76.56,1.75,V,18,20,7,1,15,0,0,N,0,1,0
74.78,1.74,V,18,0,0,0,18,0,0,N,2,3,1
106.37,1.66,M,47,0,0,0,0,1,0,N,1,0,0
75.92,1.57,M,29,0,0,0,3,9,0,N,2,2,1
91.76,1.83,V,34,0,0,3,4,0,0,N,1,3,4
64.01,1.64,M,25,0,15,0,3,0,0,N,2,3,3
103.49,1.79,V,39,0,0,0,0,0,0,N,0,1,3
79.29,1.72,M,22,0,0,4,7,0,0,N,2,3,3
56.44,1.71,M,41,80,0,0,10,6,0,N,1,3,2
85.8,1.64,M,18,0,0,3,2,0,0,N,1,0,0
85.38,1.71,V,48,0,0,0,0,0,0,N,2,4,4
73.02,1.66,M,30,0,0,5,1,0,1,N,1,4,2
82.9,1.63,M,50,0,0,6,0,0,0,N,2,4,4
101.76,1.73,M,46,0,10,1,0,0,0,N,1,1,2
86.81,1.78,V,28,0,9,4,7,0,0,N,1,2,3
95.91,1.71,M,47,0,0,0,4,0,0,N,2,3,2
73.5,1.75,V,25,0,2,0,11,0,0,N,2,3,3
73.38,1.68,M,21,0,0,5,0,0,0,N,1,3,4
93.95,1.6,M,55,0,0,3,3,0,0,N,1,2,2
47.24,1.62,M,25,170,0,2,7,0,0,N,2,4,3
108.28,1.72,M,59,0,3,1,9,13,0,N,2,3,4
71.59,1.72,V,27,0,15,2,0,0,0,N,1,3,3
64.25,1.56,M,30,20,0,3,8,6,0,N,2,3,3
65.02,1.7,M,44,50,2,3,0,4,0,N,3,4,4
58.97,1.81,V,43,50,18,0,3,0,0,N,3,4,4
90.76,1.82,V,18,0,0,0,0,0,0,N,1,3,2
87.21,1.68,V,26,0,2,4,0,4,0,N,1,2,0
83.92,1.71,V,18,0,0,4,0,0,0,N,0,2,0
115.67,1.79,V,53,0,0,0,11,4,0,N,1,1,1
83.68,1.59,M,41,0,1,0,8,7,0,N,2,2,2
57.03,1.78,V,18,150,7,0,0,5,6,N,1,2,2
63.91,1.58,M,34,20,4,0,9,9,0,N,4,4,3
71.69,1.68,V,30,40,4,2,0,3,0,N,0,1,0
111.5,1.79,V,42,0,15,1,4,8,0,N,0,0,0
94.63,1.75,V,38,0,0,2,0,0,0,N,0,2,4
109.19,1.8,V,46,0,4,3,0,4,1,N,1,2,2
85.2,1.59,M,25,0,0,0,15,9,0,N,0,1,1
75.23,1.66,M,54,60,2,0,0,0,NA,N,0,1,3
77.5,1.61,M,33,0,0,0,7,12,0,N,2,3,2
79.89,1.77,V,18,0,0,2,10,2,0,N,0,2,4
98.5,1.76,V,44,0,5,4,0,0,0,N,2,2,3
107.58,1.64,M,61,0,0,2,0,0,6,N,0,1,1
104.87,1.78,V,24,0,2,0,0,2,3,N,0,0,0
78.41,1.65,V,28,0,11,2,23,13,0,N,1,2,1
83.39,1.67,V,38,0,0,0,5,0,0,N,2,3,2
108.28,1.72,M,67,0,3,3,0,5,0,N,3,3,3
67.64,1.73,M,24,20,16,2,0,0,7,N,2,4,4
112.43,1.8,V,34,0,0,0,16,2,0,N,0,0,2
102.33,1.74,V,36,0,0,0,22,16,0,N,2,2,2
84.6,1.78,V,26,0,0,0,17,0,0,N,1,3,3
62.17,1.63,M,55,100,0,0,8,9,0,N,3,2,2
116.86,1.72,V,80,0,0,0,14,5,0,N,1,3,4
75.34,1.75,V,34,0,7,2,0,0,0,N,3,4,4
90.14,1.76,V,37,0,0,0,2,0,0,N,3,3,4
67.69,1.69,M,33,80,3,0,0,3,1,N,1,0,1
94.11,1.58,M,58,0,0,1,5,0,2,N,1,2,2
94.1,1.83,V,35,0,0,2,0,0,0,N,2,3,3
109.4,1.66,M,62,0,0,1,6,0,4,N,0,2,1
99.1,1.63,M,31,0,0,1,11,3,5,N,0,0,0
81.4,1.65,M,59,70,7,4,17,3,0,N,0,1,0
92.54,1.61,M,34,0,5,0,5,0,6,N,1,1,0
80.41,1.71,V,39,0,6,6,0,0,0,S,2,4,1
102.02,1.78,V,47,40,0,3,0,0,0,S,1,1,0
96.76,1.79,V,38,0,0,0,3,1,0,S,2,3,2
88.2,1.75,V,42,0,13,0,0,0,0,N,1,3,2
83.92,1.64,M,37,0,0,0,1,0,0,N,1,2,2
90.93,1.78,V,33,0,4,2,0,0,0,N,1,3,2
101.06,1.75,V,34,0,0,4,0,0,0,N,0,1,2
86.79,1.73,V,42,0,0,1,11,5,0,N,2,4,4
93.69,1.66,M,38,0,0,3,0,5,0,N,1,2,2
96.32,1.59,M,50,0,7,0,14,9,0,N,0,0,1
94.54,1.69,M,54,0,0,1,20,8,0,N,2,4,4
110.56,1.75,V,45,0,1,2,7,0,0,N,0,1,0
93.32,1.61,M,76,0,0,0,8,2,0,N,3,4,4
95.37,1.74,M,40,0,1,2,23,17,0,N,2,4,4
50.83,1.64,M,31,100,6,2,0,2,0,N,0,1,2
86.59,1.85,V,23,0,0,0,2,3,0,N,1,4,4
96.43,1.61,M,49,20,0,0,0,3,0,N,0,0,0
92.57,1.68,M,48,0,3,6,3,0,1,N,1,2,2
